State,City,Location,Station code,Type,Category of ES,No. of mon. days (n),Min,Max,NO2 Annual average (µg/m3),10 percentile,90 percentile,Std. Dev.,Percentage- exceedence(24 hourly),Air Quality
Kerala,Thissur,"KSPCB, District Office, Poonkunnam",624,RIRuO,NA,116,5,37,15,5,8,21,0,Low
Kerala,Wayanad,Sulthan Bathery,622,RIRuO,NA,119,5,27,8,5,19,6,0,Low
Kerala,Thiruvananthapuram,PRS Hospital/COSMO,419,RIRuO,NA,104,12,30,22,18,27,4,0,Moderate
Kerala,Thiruvananthapuram,SMV School,181,RIRuO,NA,106,14,34,23,18,29,5,0,Moderate
Kerala,Thiruvananthapuram,VELI / HiTech Chackai,357,RIRuO,NA,105,15,21,18,16,20,1,0,Low
Kerala,Thiruvananthapuram,PETTAH / Sasthamangalam,358,RIRuO,NA,104,17,29,22,19,25,3,0,Moderate
Madhya Pradesh,Bhopal,"Hamidia Road, MP Hastshilp Vikas Nigam",122,RIRuO,NA,73,6,110,21,10,40,15,1,Moderate
Madhya Pradesh,Bhopal, C E T P Govindpura ,123,RIRuO,NA,74,5,61,20,11,38,12,0,Low
Madhya Pradesh,Bhopal,"Nutan Subhash School,  T.T. Nagar",247,RIRuO,NA,76,5,92,21,8,36,14,1,Moderate
Madhya Pradesh,Dewas,EID Perry (I) Limited,525,RIRuO,NA,67,14,32,22,16,28,5,0,Moderate
Madhya Pradesh,Dewas,Dewas Metal Section,524,RIRuO,NA,70,11,34,23,16,32,6,0,Moderate
Madhya Pradesh,Dewas,Vikas Nagar,523,RIRuO,NA,55,15,36,25,18,32,6,0,Moderate
Madhya Pradesh,Gwalior,Dindayal Nagar,479,RIRuO,NA,19,13,28,25,22,28,4,0,Null
Madhya Pradesh,Gwalior,Maharaj Bada,478,RIRuO,NA,15,26,29,28,27,29,1,0,Null
Madhya Pradesh,Indore,"M.P. Laghu Udyog, Pologround ",127,RIRuO,NA,77,15,39,22,17,28,4,0,Moderate
Madhya Pradesh,Indore,"Kothari Market, M.G. Road",128,RIRuO,NA,93,12,32,20,16,22,3,0,Low
Madhya Pradesh,Indore,"Telephone Nagar, 26 A, Kanadia Road ",131,RIRuO,NA,92,14,24,18,15,15,2,0,Low
Madhya Pradesh,Jabalpur,Vijay Nagar,248,RIRuO,NA,88,15,59,24,21,27,4,0,Moderate
Madhya Pradesh,Nagda,Chem. D. Labour Club,82,RIRuO,NA,61,13,41,20,15,24,4,0,Low
