State,City,Location,Type,Numbers of  monitoring days (n),Nitrogen Dioxide(NO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Uttar Pradesh,Agra,"DIC, Nunhai",Sensitive,104,35,12,0,High
Uttar Pradesh,Agra,Itmad-ud-daulah,Sensitive,104,24,11,0,Moderate
Uttar Pradesh,Agra,Rambagh,Sensitive,103,25,12,0,Moderate
Uttar Pradesh,Agra,Taj Mahal,Sensitive,265,19,11,0,Moderate
Uttar Pradesh,Allahabad,Bharat Yantra Nigam,Rsidential and other,102,19,13,0,Low
Uttar Pradesh,Allahabad,Square Crossing,Rsidential and other,103,28,20,3,Moderate
Uttar Pradesh,Anpara,Renusagar Colony,Industrial,89,29,4,0,Moderate
Uttar Pradesh,Anpara, Anpara Colony,Industrial,87,29,3,0,Moderate
Uttar Pradesh,Firozabad,CDGI,Industrial,101,34,5,0,Moderate
Uttar Pradesh,Firozabad,Raza Ka Tal,Rsidential and other,95,32,5,0,Moderate
Uttar Pradesh,Firozabad,Tilak Nagar,Rsidential and other,93,30,4,0,Moderate
Uttar Pradesh,Ghaziabad,Atlas Cycles Ltd,Industrial,78,32,3,0,Moderate
Uttar Pradesh,Ghaziabad,Bulandshahar R.I.A.,Industrial,74,30,4,0,Moderate
Uttar Pradesh,Jhansi,Jail Chauraha,Rsidential and other,115,29,2,0,Moderate
Uttar Pradesh,Jhansi,Veeranga Nagar,Rsidential and other,104,26,2,0,Moderate
Uttar Pradesh,Kanpur,Fazal Ganj,Industrial,80,33,4,0,Moderate
Uttar Pradesh,Kanpur,Jajmau,Industrial,82,30,5,0,Moderate
Uttar Pradesh,Kanpur,Dabauli,Rsidential and other,77,31,5,0,Moderate
Uttar Pradesh,Kanpur,Deputy Ka Parao,Rsidential and other,84,30,5,0,Moderate
Uttar Pradesh,Kanpur, Kidwai nagar,Rsidential and other,89,31,5,0,Moderate
Uttar Pradesh,Khurja,CGCRI,Industrial,81,31,4,0,Moderate
Uttar Pradesh,Khurja,Ahirpara,Rsidential and other,78,22,6,0,Moderate
Uttar Pradesh,Lucknow,Talkatora,Industrial,93,37,3,0,Moderate
Uttar Pradesh,Lucknow, Aminabad,Rsidential and other,94,36,3,0,Moderate
Uttar Pradesh,Lucknow,Chandganj  Nagar,Rsidential and other,96,36,2,0,Moderate
Uttar Pradesh,Lucknow,Kapoor Hotel,Rsidential and other,90,35,2,0,Moderate
Uttar Pradesh,Lucknow,Mahanagar,Rsidential and other,77,35,2,0,Moderate
Uttar Pradesh,Meerut,Begum Bridge,Rsidential and other,41,46,7,0,NA
Uttar Pradesh,Meerut,Thana Railway Road,Rsidential and other,29,43,5,0,NA
Uttar Pradesh,Noida,GEE-PEE,Industrial,98,33,6,0,Moderate
Uttar Pradesh,Noida,"R.O, UPPB",Rsidential and other,92,33,5,0,Moderate
Uttar Pradesh,Varanasi,Regional Office,Rsidential and other,89,20,1,0,Low
Uttar Pradesh,Varanasi,Sigra,Rsidential and other,94,20,1,0,Low
Uttarakhand,Dehradoon ,Raipur Road ,Industrial,33,29,2,0,NA
