State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Particulate Matter Having Aerodynamic Diameter Less Than or Equal to 10 µm(PM10) -Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Jharkhand,Dhanbad,R.O. Dhanbad,44,RIRuO,75,27,390,127,50,118,226,70,55,Critical
Jharkhand,Jamshedpur,Bistupur Vehical Testing Centre,351,RIRuO,89,99,199,153,121,148,186,27,99,Critical
Jharkhand,Jamshedpur,Golmuri Vehicle Testing Centre,382,RIRuO,91,81,322,152,119,156,180,30,99,Critical
Jharkhand,Jharia,M.A.D.A.,332,RIRuO,71,131,370,237,188,237,274,40,100,Critical
Jharkhand,Ranchi,"Albert Ekka Chowk, Main Road",402,RIRuO,111,66,340,172,99,162,239,58,89,Critical
Jharkhand,"Saraikela Khar-
sawan","RO Building, Adityapur",614,RIRuO,86,68,336,169,105,165,236,53,91,Critical
Jharkhand,Sindri,BIT / PDIL,46,RIRuO,37,57,238,174,131,179,221,41,95,Null
Jharkhand,West Singhbhum,Barajamda U.M. Office,615,RIRuO,84,59,926,302,80,214,630,229,83,Critical
Karnataka,Bangalore,Graphite India,77,RIRuO,59,22,513,133,34,123,226,95,58,Critical
Karnataka,Bangalore,Yeshwanthpura police station,457,RIRuO,100,23,306,110,46,101,192,63,51,Critical
Karnataka,Bangalore,Peenya Industrial Area,405,RIRuO,99,31,505,88,52,80,127,56,18,High
Karnataka,Bangalore,"KHB Industrial Area, Yelahanka",404,RIRuO,106,14,265,63,31,51,100,41,10,High
Karnataka,Bangalore,"AMCO Batteries, Mysore Road",78,RIRuO,100,24,227,76,43,63,135,40,19,High
Karnataka,Bangalore,"Jnanabharathi , Bangalore University",598,RIRuO,104,14,73,42,34,41,48,7,0,Moderate
Karnataka,Bangalore,R V College of Engineering,589,RIRuO,22,29,71,56,40,56,70,13,0,Null
Karnataka,Bangalore,"TERI office, Vital Medi healthcare Pvt.Ltd",NA,RIRuO,14,45,350,163,55,148,310,103,57,Null
Karnataka,Bangalore,Victoria hospital,406,RIRuO,29,35,201,70,43,61,98,32,7,Null
Karnataka,Belgaum,Karnataka SPCB Office Building,460,ES (Sahyadri),83,3,76,33,10,31,57,18,0,Moderate
Karnataka,Gulburga,Government Hospital,459,RIRuO,77,38,140,65,46,62,80,19,6,High
Karnataka,Hassan,KSRTC bus stand building,458,RIRuO,84,17,92,45,30,43,60,14,0,Moderate
Karnataka,Hubli-Dharwad,"Lakamanahali Industrial Area, Dharwad",432,RIRuO,69,36,173,79,46,64,134,35,28,High
Karnataka,Hubli-Dharwad,"Rani Chennamma Circle, Hubli",431,RIRuO,95,43,291,104,53,88,169,52,42,Critical
Karnataka,Mangalore,"Stides Premises, Baikampady IndustrialArea",488,RIRuO,105,21,148,48,32,41,68,21,6,Moderate
Karnataka,Mysore,K.R.Circle,40,RIRuO,94,23,113,46,33,46,59,13,2,Moderate
Karnataka,Mysore,KSPCB Bldg. Hebbal Ind. Area,328,RIRuO,117,14,73,42,24,41,63,15,0,Moderate
Kerala,Alappuzha,"District Office, Alissery Road",618,RIRuO,120,5,135,40,17,35,64,22,2,Moderate
Kerala,Alappuzha,"DC Mills, Pathirappally",617,RIRuO,120,7,174,49,17,41,89,32,8,Moderate
Kerala,Kochi,Eloor I,149,RIRuO,90,9,214,25,12,20,42,23,1,Low
Kerala,Kochi,Eloor II,29,RIRuO,91,12,186,31,15,25,50,22,1,Moderate
Kerala,Kochi,Irumpanam,30,RIRuO,109,8,123,37,14,29,72,24,1,Moderate
Kerala,Kochi,Ernakulum South,338,RIRuO,109,15,86,36,20,30,57,16,0,Moderate
Kerala,Kochi,VYTTILA,562,RIRuO,108,10,95,41,19,35,68,20,0,Moderate
Kerala,Kochi,MG Road Bank Ernakulum,147,RIRuO,109,7,78,35,15,29,64,18,0,Moderate
Kerala,Kochi,Kalamassery,346,RIRuO,108,7,115,46,19,44,77,22,1,Moderate
Kerala,Kollam,"KSPCB, District Office, Kadappakada",621,RIRuO,117,22,133,57,31,52,87,23,4,Moderate
Kerala,Kollam,KMML Chavara,620,RIRuO,56,11,117,37,18,30,67,21,4,Moderate
Kerala,Kottayam,Kottayam,187,RIRuO,96,47,60,54,50,55,57,3,0,Moderate
Kerala,Kottayam,Vadavathoor,361,RIRuO,96,33,50,41,34,42,47,5,0,Moderate
Kerala,Kozhikode,Kozhikode City,360,RIRuO,108,26,55,39,29,37,50,8,0,Moderate
Kerala,Kozhikode,Nallalam,359,RIRuO,108,23,82,45,30,45,56,11,0,Moderate
Kerala,Malapuram,Kakkanchery Sijmak oils,623,RIRuO,108,11,42,30,22,32,36,6,0,Low
Kerala,Palakkad,SEPR Refractories India Ltd.,311,RIRuO,121,6,70,32,20,30,47,11,0,Moderate
Kerala,Pathanamthitta,"Near District Office KSPCB, Makkam-kunnu",619,RIRuO,120,10,41,27,19,26,35,7,0,Low
Kerala,Thissur,"KSPCB, District Office, Poonkunnam",624,RIRuO,93,10,142,31,15,23,54,25,3,Moderate
Kerala,Wayanad,Sulthan Bathery,622,RIRuO,119,23,62,46,34,49,56,9,0,Moderate
Kerala,Trivandrum,PRS Hospital/COSMO,419,RIRuO,108,38,63,50,44,50,58,5,0,Moderate
Kerala,Trivandrum,SMV School,181,RIRuO,109,33,274,55,44,52,64,23,1,Moderate
Kerala,Trivandrum,VELI,357,RIRuO,106,36,98,67,50,68,82,13,0,High
Kerala,Trivandrum,PETTAH,358,RIRuO,107,35,79,49,43,48,57,6,0,Moderate
Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam",122,RIRuO,73,29,486,144,50,126,240,92,64,Critical
Madhya Pradesh,Bhopal,C E T P Govindpura,123,RIRuO,74,19,444,121,28,107,223,91,54,Critical
Madhya Pradesh,Dewas,EID Perry (I) Limited,525,RIRuO,88,211,32,100,40,60,90,163,40,Critical
Madhya Pradesh,Dewas,Dewas Metal Section,524,RIRuO,58,112,27,70,53,69,99,23,7,High
Madhya Pradesh,Dewas,Vikas Nagar,523,RIRuO,88,191,26,86,56,85,117,30,20,High
Madhya Pradesh,Gwalior,Dindayal Nagar,479,RIRuO,75,110,624,361,224,347,520,118,100,Critical
Madhya Pradesh,Gwalior,Maharaj Bada,478,RIRuO,75,117,571,254,157,231,380,95,100,Critical
Madhya Pradesh,Indore,Polo Ground,127,RIRuO,89,35,341,129,58,115,200,66,62,Critical
Madhya Pradesh,Indore,"Kothari Market, M.G. Road",128,RIRuO,94,40,336,131,61,124,214,60,70,Critical
Madhya Pradesh,Indore,"Telephone Nagar, Kanadia Road",131,RIRuO,91,30,210,101,51,104,148,40,54,Critical
Madhya Pradesh,Jabalpur,Vijay Nagar,248,RIRuO,21,150,119,135,123,135,146,9,100,Null
Madhya Pradesh,Nagda,B C I Labour Club,84,RIRuO,97,109,55,89,78,90,100,10,9,High
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,246,RIRuO,100,116,59,101,86,102,112,11,65,Critical
Madhya Pradesh,Sagar,"Pt.Deendayal Nagar, Housing BoardColony",532,RIRuO,16,100,42,66,48,64,88,16,0,Null
Madhya Pradesh,Satna,Sub-divisional Office E/M LightMachniery,343,RIRuO,80,391,80,252,116,255,334,75,93,Critical
Madhya Pradesh,Satna,Regional Office MPPCB,342,RIRuO,96,277,74,135,99,127,193,41,88,Critical
Madhya Pradesh,Singrauli,Jayant Township,515,RIRuO,13,84,67,77,70,77,83,5,0,Null
Madhya Pradesh,Singrauli,"N.T.P.C., Vidyanagar",514,RIRuO,19,67,46,59,53,59,64,5,0,Null
Madhya Pradesh,Singrauli,Waidhan,516,RIRuO,13,46,36,40,37,39,43,3,0,Null
Madhya Pradesh,Ujjain,District Office,527,RIRuO,74,183,60,118,81,119,157,29,68,Critical
Madhya Pradesh,Ujjain,Regional Office,526,RIRuO,48,90,29,54,36,54,71,14,0,Null
Madhya Pradesh,Ujjain,Mahakal Temple,528,RIRuO,59,105,40,69,52,63,91,16,2,High
Maharashtra,Amravati,M/s Apurva Oil and Industries Pvt. Ltd,549,RIRuO,88,79,165,121,93,121,145,19,88,Critical
Maharashtra,Amravati,Govt College of Engineering,548,RIRuO,97,37,121,74,56,74,92,15,3,High
Maharashtra,Amravati,Rajkamal Square,547,RIRuO,96,79,201,159,128,154,194,27,99,Critical
Maharashtra,Aurangabad,S.B.E.S. College,511,RIRuO,110,42,201,91,56,88,134,32,32,Critical
Maharashtra,Aurangabad,Collector Ofiice,512,RIRuO,108,29,116,68,43,69,92,19,4,High
Maharashtra,Aurangabad,"C.A.D.A. Ofiice, Garkheda",513,RIRuO,103,32,128,65,36,62,97,24,9,High
Maharashtra,Badlapur,BIWA Office,649,RIRuO,92,31,212,112,57,113,163,40,60,Critical
Maharashtra,Chandrapur,Grampanchat Ghughus,267,RIRuO,93,30,396,214,81,215,341,99,80,Critical
Maharashtra,Chandrapur,MIDC Chandrapur,281,RIRuO,96,44,376,148,78,143,210,58,78,Critical
Maharashtra,Chandrapur,Nagar Parishad,396,RIRuO,97,28,200,86,45,78,144,38,26,High
Maharashtra,Chandrapur,"Gadchandur Gram Panchayat, Rajura",640,RIRuO,74,13,389,110,31,105,182,69,53,Critical
Maharashtra,Chandrapur,"MIDC, Tadali",638,RIRuO,54,35,488,223,80,201,373,113,83,Critical
Maharashtra,Chandrapur,"Muncipal Council, Ballarshah",639,RIRuO,94,18,492,132,44,134,209,73,67,Critical
Maharashtra,Jalgaon,B. J. Market,644,RIRuO,69,74,153,115,87,116,143,20,72,Critical
Maharashtra,Jalgaon,Girna water tank,645,RIRuO,68,74,155,118,98,118,135,15,87,Critical
Maharashtra,Jalgaon,MIDC Jalgaon,646,RIRuO,70,68,204,134,100,134,174,28,89,Critical
