State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Sulfur Dioxide(SO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Kerala,Kollam,"KSPCB, District Office, Kadappakada",621,RIRuO,117,2,3,2,2,2,2,Null,0,Low
Kerala,Kollam,KMML Chavara,620,RIRuO,56,2,12,3,2,2,6,2,0,Low
Kerala,Kottayam,Kottayam,187,RIRuO,96,6,6,6,6,6,6,Null,0,Low
Kerala,Kottayam,Vadavathoor,361,RIRuO,96,4,5,5,5,5,5,Null,0,Low
Kerala,Kozhikode,Kozhikode City,360,RIRuO,108,2,2,2,2,2,2,Null,0,Low
Kerala,Kozhikode,Nallalam,359,RIRuO,108,2,2,2,2,2,2,Null,0,Low
Kerala,Malapuram,Kakkanchery Sijmak oils,623,RIRuO,108,2,2,2,2,2,2,Null,0,Low
Kerala,Palakkad,SEPR Refractories India Ltd.,311,RIRuO,121,2,11,3,2,2,5,2,0,Low
Kerala,Pathanamthitta,"Near District Office KSPCB, Makkam-kunnu",619,RIRuO,120,2,2,2,2,2,2,Null,0,Low
Kerala,Thissur,"KSPCB, District Office, Poonkunnam",624,RIRuO,93,2,2,2,2,2,2,Null,0,Low
Kerala,Wayanad,Sulthan Bathery,622,RIRuO,119,2,3,2,2,2,2,Null,0,Low
Kerala,Trivandrum,PRS Hospital/COSMO,419,RIRuO,108,5,8,6,6,6,7,1,0,Low
Kerala,Trivandrum,SMV School,181,RIRuO,109,5,25,7,6,7,7,2,0,Low
Kerala,Trivandrum,VELI,357,RIRuO,106,6,23,16,11,16,20,3,0,Low
Kerala,Trivandrum,PETTAH,358,RIRuO,107,5,11,6,6,6,7,1,0,Low
Madhya Pradesh,Bhopal,"Hamidia Road, M.P. Hastshilp Vikas Nigam",122,RIRuO,72,2,93,10,3,8,13,12,1,Low
Madhya Pradesh,Bhopal,C E T P Govindpura,123,RIRuO,73,0,61,7,3,5,13,8,0,Low
Madhya Pradesh,Dewas,EID Perry (I) Limited,525,RIRuO,86,29,8,14,0,11,13,19,4,Low
Madhya Pradesh,Dewas,Dewas Metal Section,524,RIRuO,52,15,6,10,7,10,13,2,0,Low
Madhya Pradesh,Dewas,Vikas Nagar,523,RIRuO,79,24,7,11,8,11,15,3,0,Low
Madhya Pradesh,Gwalior,Dindayal Nagar,479,RIRuO,71,17,7,12,9,12,14,2,0,Low
Madhya Pradesh,Gwalior,Maharaj Bada,478,RIRuO,60,19,8,13,10,13,15,2,0,Low
Madhya Pradesh,Indore,Polo Ground,127,RIRuO,89,7,70,22,12,17,43,13,0,Low
Madhya Pradesh,Indore,"Kothari Market, M.G. Road",128,RIRuO,93,2,22,11,5,12,16,4,0,Low
Madhya Pradesh,Indore,"Telephone Nagar, Kanadia Road",131,RIRuO,91,0,22,8,5,8,12,3,0,Low
Madhya Pradesh,Jabalpur,Vijay Nagar,248,RIRuO,21,2,2,2,2,2,2,Null,0,Null
Madhya Pradesh,Nagda,B C I Labour Club,84,RIRuO,91,34,11,16,13,16,20,4,0,Low
Madhya Pradesh,Nagda,Grasim Kalyan Kendra,246,RIRuO,98,39,12,21,14,21,26,5,0,Low
Madhya Pradesh,Sagar,"Pt.Deendayal Nagar, Housing Board Colony",532,RIRuO,72,5,3,4,3,4,4,Null,0,Low
Madhya Pradesh,Satna,Sub-divisional Office E/M LightMachniery,343,RIRuO,80,5,2,3,2,3,4,1,0,Low
Madhya Pradesh,Satna,Regional Office MPPCB,342,RIRuO,96,4,2,3,2,2,3,1,0,Low
Madhya Pradesh,Singrauli,Jayant Township,515,RIRuO,13,21,18,19,18,19,21,1,0,Null
Madhya Pradesh,Singrauli,"N.T.P.C., Vidyanagar",514,RIRuO,19,17,14,16,14,16,17,1,0,Null
Madhya Pradesh,Singrauli,Waidhan,516,RIRuO,13,12,9,10,9,10,11,1,0,Null
Madhya Pradesh,Ujjain,District Office,527,RIRuO,71,23,12,15,13,14,15,19,3,Low
Madhya Pradesh,Ujjain,Regional Office,526,RIRuO,42,9,6,8,6,8,9,1,0,Null
Madhya Pradesh,Ujjain,Mahakal Temple,528,RIRuO,51,15,10,12,11,13,14,1,0,Low
Maharashtra,Amravati,M/s Apurva Oil and Industries Pvt. Ltd,549,RIRuO,88,9,15,12,10,12,14,2,0,Low
Maharashtra,Amravati,Govt College of Engineering,548,RIRuO,97,6,14,11,8,11,13,2,0,Low
Maharashtra,Amravati,Rajkamal Square,547,RIRuO,96,6,18,13,11,14,16,2,0,Low
Maharashtra,Aurangabad,S.B.E.S. College,511,RIRuO,110,4,13,7,5,7,9,2,0,Low
Maharashtra,Aurangabad,Collector Ofiice,512,RIRuO,108,3,10,6,4,6,8,1,0,Low
Maharashtra,Aurangabad,"C.A.D.A. Ofiice, Garkheda",513,RIRuO,97,3,19,6,5,6,8,2,0,Low
Maharashtra,Badlapur,BIWA Office,649,RIRuO,92,5,86,32,13,31,53,15,1,Moderate
Maharashtra,Chandrapur,Grampanchat Ghughus,267,RIRuO,93,5,86,30,9,23,62,20,1,Moderate
Maharashtra,Chandrapur,MIDC Chandrapur,281,RIRuO,96,6,181,38,8,24,92,36,13,Moderate
Maharashtra,Chandrapur,Nagar Parishad,396,RIRuO,97,5,95,27,6,24,53,20,2,Moderate
Maharashtra,Chandrapur,"Gadchandur Gram Panchayat, Rajura",640,RIRuO,74,4,79,20,7,15,36,14,0,Low
Maharashtra,Chandrapur,"MIDC, Tadali",638,RIRuO,62,5,48,20,7,16,38,12,0,Low
Maharashtra,Chandrapur,"Muncipal Council, Ballarshah",639,RIRuO,94,4,85,20,6,15,35,14,1,Low
Maharashtra,Jalgaon,B. J. Market,644,RIRuO,69,9,24,16,12,16,22,4,0,Low
Maharashtra,Jalgaon,Girna water tank,645,RIRuO,68,9,19,15,13,15,17,2,0,Low
Maharashtra,Jalgaon,MIDC Jalgaon,646,RIRuO,70,15,28,21,16,20,25,3,0,Low
Maharashtra,Kolhapur,"University Campus, Shivaji University,",508,ES (Sahyadri),100,7,11,9,8,9,10,1,0,Low
Maharashtra,Kolhapur,"Ruikar Trust, Dabholkar Corner, ST Stand",509,ES (Sahyadri),92,15,32,20,16,19,28,4,0,Moderate
Maharashtra,Kolhapur,"Mahadwar Road, Near Mahalaxmi Temple",510,ES (Sahyadri),102,10,24,16,13,16,20,3,0,Moderate
Maharashtra,Latur,MIDC Water Works,641,RIRuO,96,4,22,8,4,7,15,4,0,Low
Maharashtra,Latur,Terrace of Kshewraj Vidyalaya Shyamnagar,642,RIRuO,104,4,22,8,4,6,12,4,0,Low
Maharashtra,Latur,Terrace of Sidhheshwar Sahakari Bank Ganjgolai,643,RIRuO,61,4,21,7,4,7,12,3,0,Low
Maharashtra,Lote,MIDC Chalkewadi,489,RIRuO,12,24,180,74,28,60,132,46,33,Null
Maharashtra,Lote,"Pump House, CETP",490,RIRuO,18,13,136,46,21,46,65,28,6,Null
Maharashtra,Mahad,"Water treatment plant, Bhirwadi",569,RIRuO,66,9,36,19,12,18,26,6,0,Low
Maharashtra,Mahad,"EHS, M/s Privi organics Ltd",570,RIRuO,56,11,36,21,12,21,27,6,0,Low
Maharashtra,Mahad,"Mahatma Phule Hall, MNP",571,RIRuO,50,10,26,16,12,16,22,4,0,Low
Maharashtra,Mumbai,Kalbadevi,169,RIRuO,84,2,24,4,2,3,7,4,0,Low
Maharashtra,Mumbai,"Parel , Ambedkar Road",170,RIRuO,98,2,35,4,2,3,6,4,0,Low
Maharashtra,Mumbai,Worli,349,RIRuO,103,2,16,4,2,3,8,3,0,Low
Maharashtra,Nagpur,Institution of Engineers,287,RIRuO,86,8,17,11,9,9,13,2,0,Low
Maharashtra,Nagpur,"Govt. Polytechnic College, Sadar",314,RIRuO,87,7,19,11,9,11,13,2,0,Low
Maharashtra,Nagpur,MIDC Office Hingana Road,288,RIRuO,83,7,15,11,9,11,14,2,0,Low
Maharashtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna",165,RIRuO,81,2,48,6,2,3,15,8,0,Low
Maharashtra,Nagpur,"Maskasath, Itwari",166,RIRuO,98,2,17,3,2,2,5,2,0,Low
Maharashtra,Nagpur,"NEERI Lab, Nehru Marg",167,RIRuO,96,2,22,3,2,2,4,3,0,Low
Maharashtra,Nashik,R.T.O. Colony Tank,259,RIRuO,112,11,35,20,16,20,27,4,0,Low
Maharashtra,Nashik,"VIP Industrial Area, MIDC Satpura",269,RIRuO,113,13,38,23,19,23,28,4,0,Low
Maharashtra,Nashik,Nashik Municipal Council Building,280,RIRuO,111,11,33,21,16,20,26,4,0,Low
