State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Suspended Particulate Matter(SPM)- Annual average (µg/m3),Standard Deviation
Punjab,Dera Bassi,"M/s Winsome Yarns Ltd., Barwala Road, Derabassi",505,RIRuO,51,208,330,264,31
Punjab,Patiala,Ceylon Industries,600,RIRuO,50,148,260,202,22
Punjab,Patiala,"Fire Brigade Station, Bahera Road,",599,RIRuO,50,162,235,194,21
Puducherry,Puducherry,"DSTC Office Upstairs, AnnaNagar",64,RIRuO,90,30,94,60,13
Puducherry,Puducherry,PIPDIC Ind. Estate Mettupalayam,93,RIRuO,82,36,123,70,18
Puducherry,Puducherry,Chamber Of Commerce,337,RIRuO,83,23,71,45,10
Rajasthan,Alwar,"Regional Office, Rajasthan SPCB",372,ES (Aravali range),82,54,1953,403,288
Rajasthan,Alwar,Gaurav Solvex Ltd. MIA,373,ES (Aravali range),75,48,1483,520,277
Rajasthan,Alwar,"RIICO Pump House, MIA",219,ES (Aravali range),72,87,961,281,153
Rajasthan,Jaipur,"RJPB Office,Jhalana Doongari",298,RIRuO,108,23,1056,235,188
Rajasthan,Jaipur,"Office of District Education Officer, Chandpole",408,RIRuO,92,153,1076,488,162
Rajasthan,Jaipur,"RIICO Office, M.I.A.",410,RIRuO,102,42,1399,249,215
Rajasthan,Jaipur,"Regional Office (North), RSPCB, Vidyadhar Nagar",409,RIRuO,109,74,2485,474,350
Rajasthan,Jaipur,VKIA,297,RIRuO,114,98,2015,547,290
Rajasthan,Jodhpur,"DIC Office, Industrial Estate",413,RIRuO,96,78,992,348,194
Rajasthan,Jodhpur,Sojati Gate,273,RIRuO,103,106,1180,453,205
Rajasthan,Jodhpur,"Basni Industrial Area, RIICO Office",274,RIRuO,97,125,1300,422,226
Rajasthan,Jodhpur,Maha Mandir Police Thane,376,RIRuO,99,78,1235,451,242
Rajasthan,Jodhpur,"Office of Housing Board, Chopasani Road",411,RIRuO,98,73,1058,342,196
Rajasthan,Jodhpur,Shastri Nagar Police Thana,412,RIRuO,102,72,1210,418,223
Rajasthan,Kota,"Regional Office, RJPB, Anantpura",17,RIRuO,102,38,886,287,166
Rajasthan,Kota,Municipal Corporation Building,326,RIRuO,101,37,688,230,127
Rajasthan,Kota,Samcore Glass Ltd.,325,RIRuO,103,31,552,214,132
Rajasthan,Udaipur,Ambamata,320,RIRuO,92,130,493,284,90
Rajasthan,Udaipur,Town Hall,294,RIRuO,93,132,660,313,120
Rajasthan,Udaipur,"Regional Office,MIA",321,RIRuO,83,166,807,407,145
Tamilnadu,Chennai,"Kathivakkam, Municipal Kalyana Mandapam",38,RIRuO,100,63,335,174,58
Tamilnadu,Chennai,"Govt. High School, Manali",71,RIRuO,102,47,407,161,64
Tamilnadu,Chennai,Thiruvottiyur,72,RIRuO,93,72,362,165,66
Tamilnadu,Chennai,Madras Medical College,159,RIRuO,88,39,204,99,36
Tamilnadu,Chennai,"NEERI, CSIR Campus",160,RIRuO,95,29,158,83,28
Tamilnadu,Chennai,Thiruvottiyur Municipal Office,161,RIRuO,95,24,258,99,40
Tamilnadu,Coimbatore,"Poniarajapuram, On the top of DEL",371,RIRuO,81,21,206,100,51
Tamilnadu,Coimbatore,G.D.Matric Hr.Sec.School,238,RIRuO,100,34,506,140,73
Tamilnadu,Coimbatore,SIDCO Office Kurichi,237,RIRuO,93,77,1403,262,153
