State,City,Station,Type,Numbers of  monitoring days (n),Sulfur Dioxide(SO2)-  Annual average (µg/m3),Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
West Bengal,Kolkata,"A.J.C Bose Road, Minto Park",Residential and other,104,7,2,0,Low
West Bengal,Kolkata,"KMC Office Building, Moulali",Residential and other,105,9,3,0,Low
West Bengal,Kolkata,"CK Market, Salt Lake",Residential and other,105,7,2,0,Low
West Bengal,Barrackpore,Barrackpore Police Station,Residential and other,44,8,2,0,NA
West Bengal,Barrackpore,Dum Dum Telephone Exchange,Residential and other,44,10,3,0,NA
West Bengal,Barrackpore,Khardah Municipality,Residential and other,44,13,4,0,NA
West Bengal,Raniganj,Jamuria Municipality,Residential and other,17,9,1,0,NA
West Bengal,Raniganj,"SKS Public School, Mangalpur",Residential and other,43,8,1,0,NA
West Bengal,Raniganj,"Raniganj Municipality, Raniganj",Residential and other,43,9,2,0,NA
West Bengal,Sankrail,"P. Mukherjee's House, (Near SBI)",Residential and other,31,6,1,0,NA
West Bengal,Sankrail,Bagnan Police Station,Residential and other,31,11,3,0,NA
West Bengal,Sankrail,Dhulagarh Gram Panchayet Office,Residential and other,31,12,3,0,NA
West Bengal,Sankrail,"Bharat Co-operative Housing Society, Sankrail",Residential and other,31,10,2,0,NA
West Bengal,South suburban,"P. Roy Industrial Training Institute, Amtala",Residential and other,43,7,7,0,NA
West Bengal,South suburban,Baruipur Police Station,Residential and other,43,7,2,0,NA
West Bengal,South suburban,"Chanditala Water Supply Pump House, Tollygunge",Residential and other,42,8,3,0,NA
