state,year,month,aqi
7,1991,2,200.0
8,1991,2,331.0
9,1991,2,224.0
11,1991,2,200.0
12,1991,2,203.55555555555554
13,1991,2,279.8125
14,1991,2,259.26666666666665
16,1991,2,200.0
19,1991,2,200.0
20,1991,2,260.2857142857143
21,1991,2,210.85714285714286
23,1991,2,202.33333333333334
24,1991,2,445.3333333333333
26,1991,2,378.22222222222223
0,1991,3,242.66666666666666
2,1991,3,200.0
3,1991,3,380.5
4,1991,3,247.33333333333334
6,1991,3,345.8888888888889
7,1991,3,200.0
8,1991,3,275.0
9,1991,3,233.75
11,1991,3,200.0
12,1991,3,200.0
13,1991,3,259.0
14,1991,3,237.0
16,1991,3,200.0
19,1991,3,200.0
20,1991,3,365.0
21,1991,3,206.14285714285714
23,1991,3,212.44444444444446
24,1991,3,416.3333333333333
26,1991,3,302.0
0,1991,4,227.66666666666666
2,1991,4,200.0
3,1991,4,350.14285714285717
6,1991,4,435.0
7,1991,4,200.0
8,1991,4,272.0
9,1991,4,226.0
11,1991,4,207.57142857142858
12,1991,4,350.4
13,1991,4,280.05882352941177
14,1991,4,258.0
16,1991,4,200.0
19,1991,4,200.0
21,1991,4,259.7142857142857
23,1991,4,202.55555555555554
24,1991,4,557.2941176470588
26,1991,4,305.22222222222223
0,1991,5,217.66666666666666
2,1991,5,200.0
3,1991,5,389.2857142857143
6,1991,5,471.6666666666667
7,1991,5,200.0
8,1991,5,265.0
9,1991,5,278.8333333333333
11,1991,5,200.0
12,1991,5,207.0
13,1991,5,263.6666666666667
14,1991,5,238.4
16,1991,5,200.0
19,1991,5,200.0
21,1991,5,200.0
23,1991,5,207.11111111111111
24,1991,5,534.1666666666666
26,1991,5,259.44444444444446
0,1991,6,200.0
2,1991,6,200.0
3,1991,6,289.42857142857144
4,1991,6,318.5
6,1991,6,443.0
7,1991,6,200.0
8,1991,6,267.0
9,1991,6,235.83333333333334
11,1991,6,203.85714285714286
12,1991,6,200.5
13,1991,6,249.2941176470588
14,1991,6,211.6
16,1991,6,200.0
19,1991,6,200.0
21,1991,6,234.6
23,1991,6,200.0
24,1991,6,377.125
26,1991,6,257.6666666666667
0,1991,7,200.0
2,1991,7,200.0
3,1991,7,239.6
4,1991,7,483.5
6,1991,7,381.6666666666667
7,1991,7,200.0
8,1991,7,239.0
9,1991,7,244.33333333333334
11,1991,7,200.0
12,1991,7,203.375
14,1991,7,202.0
16,1991,7,200.0
19,1991,7,200.0
21,1991,7,256.125
23,1991,7,201.66666666666666
24,1991,7,358.38461538461536
26,1991,7,219.5
0,1991,8,200.0
2,1991,8,200.0
3,1991,8,226.33333333333334
4,1991,8,204.5
6,1991,8,266.0
7,1991,8,200.0
8,1991,8,200.0
9,1991,8,200.0
11,1991,8,200.0
12,1991,8,202.4375
14,1991,8,200.0
16,1991,8,200.0
19,1991,8,200.0
21,1991,8,224.875
23,1991,8,201.875
24,1991,8,256.1
26,1991,8,204.22222222222223
0,1991,9,200.0
2,1991,9,200.0
3,1991,9,264.8333333333333
4,1991,9,205.5
6,1991,9,306.55555555555554
7,1991,9,200.0
8,1991,9,200.0
9,1991,9,210.33333333333334
11,1991,9,200.0
12,1991,9,200.69230769230768
14,1991,9,207.45454545454547
16,1991,9,200.0
19,1991,9,200.0
21,1991,9,202.25
23,1991,9,200.2
24,1991,9,228.7
26,1991,9,282.85714285714283
0,1991,10,200.0
2,1991,10,200.0
3,1991,10,310.5
4,1991,10,260.5
6,1991,10,443.1111111111111
7,1991,10,200.0
8,1991,10,200.0
9,1991,10,231.66666666666666
11,1991,10,200.0
12,1991,10,200.0
13,1991,10,256.5625
14,1991,10,214.54545454545453
16,1991,10,200.0
19,1991,10,200.0
21,1991,10,265.25
23,1991,10,200.0
24,1991,10,442.2
26,1991,10,295.85714285714283
0,1991,11,210.66666666666666
2,1991,11,200.0
3,1991,11,371.0
4,1991,11,249.0
6,1991,11,428.6666666666667
7,1991,11,200.0
8,1991,11,205.0
9,1991,11,251.66666666666666
11,1991,11,200.0
12,1991,11,214.9375
13,1991,11,253.0
14,1991,11,241.76923076923077
16,1991,11,200.0
21,1991,11,242.28571428571428
23,1991,11,200.0
24,1991,11,458.0
26,1991,11,876.0
0,1991,12,214.0
2,1991,12,200.0
3,1991,12,352.4
4,1991,12,274.5
6,1991,12,429.6666666666667
7,1991,12,200.0
8,1991,12,204.0
9,1991,12,262.8333333333333
11,1991,12,202.0
12,1991,12,216.625
13,1991,12,264.52941176470586
14,1991,12,296.14285714285717
16,1991,12,200.0
21,1991,12,215.125
23,1991,12,205.75
24,1991,12,514.9
26,1991,12,801.0
0,1992,1,306.3
2,1992,1,200.0
3,1992,1,329.0
4,1992,1,647.5
6,1992,1,344.0
7,1992,1,200.0
8,1992,1,200.0
9,1992,1,234.83333333333334
12,1992,1,203.375
13,1992,1,200.0
14,1992,1,291.46153846153845
20,1992,1,291.75
21,1992,1,273.3333333333333
23,1992,1,200.0
24,1992,1,285.6666666666667
26,1992,1,361.1111111111111
0,1992,2,252.2
2,1992,2,200.0
3,1992,2,323.0
4,1992,2,649.0
6,1992,2,290.5
7,1992,2,200.0
8,1992,2,200.0
9,1992,2,238.83333333333334
11,1992,2,200.0
12,1992,2,202.5
13,1992,2,200.0
14,1992,2,312.0833333333333
20,1992,2,209.28571428571428
21,1992,2,212.875
23,1992,2,200.0
24,1992,2,295.3333333333333
26,1992,2,234.5
0,1992,3,250.6
2,1992,3,200.0
3,1992,3,353.6
6,1992,3,362.1666666666667
7,1992,3,200.0
8,1992,3,243.0
9,1992,3,233.5
12,1992,3,206.46153846153845
13,1992,3,200.0
14,1992,3,286.4
20,1992,3,218.71428571428572
21,1992,3,257.3
23,1992,3,200.0
24,1992,3,396.0
26,1992,3,233.625
0,1992,4,240.0
2,1992,4,200.66666666666666
3,1992,4,313.2
6,1992,4,381.3333333333333
7,1992,4,200.0
8,1992,4,268.0
9,1992,4,300.6666666666667
12,1992,4,203.44444444444446
13,1992,4,332.8333333333333
14,1992,4,269.5
20,1992,4,210.66666666666666
21,1992,4,310.7
23,1992,4,200.0
24,1992,4,517.6
26,1992,4,236.875
0,1992,5,227.66666666666666
2,1992,5,200.0
3,1992,5,287.0
4,1992,5,322.5
6,1992,5,491.8888888888889
7,1992,5,200.0
8,1992,5,350.0
9,1992,5,281.75
12,1992,5,216.9
13,1992,5,323.6111111111111
14,1992,5,219.33333333333334
20,1992,5,209.16666666666666
21,1992,5,436.3
23,1992,5,200.0
24,1992,5,333.5
26,1992,5,294.0
0,1992,6,227.77777777777777
2,1992,6,200.0
3,1992,6,200.0
4,1992,6,235.0
6,1992,6,628.0
7,1992,6,200.0
8,1992,6,570.5
9,1992,6,269.8333333333333
11,1992,6,211.66666666666666
12,1992,6,200.0
13,1992,6,340.8333333333333
14,1992,6,255.66666666666666
20,1992,6,333.5
21,1992,6,370.2857142857143
23,1992,6,200.0
24,1992,6,200.0
26,1992,6,200.0
0,1992,7,200.0
2,1992,7,200.0
4,1992,7,350.5
6,1992,7,407.1666666666667
7,1992,7,200.0
8,1992,7,243.0
12,1992,7,200.0
13,1992,7,200.0
20,1992,7,227.0
21,1992,7,227.85714285714286
24,1992,7,742.5
26,1992,7,200.0
0,1992,8,212.33333333333334
2,1992,8,200.0
6,1992,8,312.5
7,1992,8,200.0
8,1992,8,224.5
9,1992,8,200.0
12,1992,8,200.0
13,1992,8,200.0
20,1992,8,200.0
21,1992,8,200.85714285714286
23,1992,8,200.0
24,1992,8,200.0
26,1992,8,201.4333333333333
0,1992,9,211.16666666666666
2,1992,9,200.0
3,1992,9,207.5
7,1992,9,200.0
8,1992,9,236.0
9,1992,9,200.0
11,1992,9,200.0
12,1992,9,200.0
20,1992,9,229.33333333333334
21,1992,9,215.28571428571428
