State,City,Location,Station code,Type,Numbers of  monitoring days (n),Minimum,Maximum,Nitrogen Dioxide(NO2)-  Annual average (µg/m3),10 percentile,50 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Maharasthtra,Lote,MIDC Chalkewadi,489,RIRuO,12,20,53,33,29,32,38,8,0,Null
Maharasthtra,Lote,"Pump House, CETP",490,RIRuO,18,9,61,27,13,27,41,14,0,Null
Maharasthtra,Mahad,"Water treatment plant, Bhirwadi",569,RIRuO,66,9,75,37,16,34,60,16,0,Moderate
Maharasthtra,Mahad,"EHS, M/s Privi organics Ltd",570,RIRuO,56,21,68,42,26,41,54,11,0,High
Maharasthtra,Mahad,"Mahatma Phule Hall, MNP",571,RIRuO,50,21,57,37,25,37,48,9,0,Moderate
Maharasthtra,Mumbai,Kalbadevi,169,RIRuO,84,5,74,17,5,10,34,15,0,Low
Maharasthtra,Mumbai,"Parel , Ambedkar Road",170,RIRuO,98,5,59,16,5,12,37,13,0,Low
Maharasthtra,Mumbai,Worli,349,RIRuO,103,5,268,23,5,14,40,31,3,Moderate
Maharasthtra,Nagpur,Institution of Engineers,287,RIRuO,86,25,85,38,27,35,55,12,2,Moderate
Maharasthtra,Nagpur,"Govt. Polytechnic College, Sadar",314,RIRuO,87,20,94,38,27,36,50,12,1,Moderate
Maharasthtra,Nagpur,MIDC Office Hingana Road,288,RIRuO,83,22,78,41,29,39,56,12,0,High
Maharasthtra,Nagpur,"MIDC Industrial Area, MIDC Office, Hingna",165,RIRuO,81,5,98,28,10,22,57,19,1,Moderate
Maharasthtra,Nagpur,"Maskasath, Itwari",166,RIRuO,98,5,125,32,13,27,61,20,3,Moderate
Maharasthtra,Nagpur,"NEERI Lab, Nehru Marg",167,RIRuO,96,6,75,23,9,21,40,14,0,Moderate
Maharasthtra,Nashik,R.T.O. Colony Tank,259,RIRuO,112,16,39,25,19,23,32,5,0,Moderate
