CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1997-12-31,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1998-12-31,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,1999-12-31,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2000-12-31,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2001-12-31,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2002-12-31,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2003-12-31,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2004-12-31,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2005-12-31,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2006-12-31,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2007-12-31,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2008-12-31,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2009-12-31,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2010-12-31,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Population Density,World Population Prospects,Number of persons per square Kilometer,Annually,,DMPODINABSGLA,Population Density - India,2011-12-31,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
